,network,station,NOP,RMSE_RF,ubRMSE_RF,r_RF,LC,Climate,RMSE_cci,ubRMSE_cci,r_cci
OZNET_Canberra-Airport.csv,OZNET,Canberra-Airport,,0.018197642834741786,0.01751177658701852,0.7378182518320621,190.0,Cfb,0.1666063252484025,0.017901263411240226,0.7741882788343539
OZNET_Cooma-Airfield.csv,OZNET,Cooma-Airfield,,0.01760867909197301,0.014962870895915335,0.8251697516670106,120.0,Cfb,0.1859915656305013,0.023611373176183555,0.6876496564907411
OZNET_Cootamundra-Aerodrome.csv,OZNET,Cootamundra-Aerodrome,,0.034484791616045306,0.020827118588635552,0.6758110721746683,120.0,Cfa,0.11655824589812769,0.030613532159250143,0.5728898084238411
OZNET_Cox.csv,OZNET,Cox,,0.06488425594470627,0.05135810819277783,0.6703288755823652,120.0,Cfa,0.12002665174391335,0.041775097176345755,0.669030782124234
OZNET_Crawford.csv,OZNET,Crawford,,0.030473033275071393,0.02680547607264275,0.7863966935294034,130.0,Cfb,0.07270829061119342,0.03077939866945768,0.7382806260627282
OZNET_Dry-Lake.csv,OZNET,Dry-Lake,,0.04839386833399136,0.046898481507956405,0.8590804613408322,10.0,BSk,0.08083630969082399,0.05107981253412316,0.8801662619790203
OZNET_Eulo.csv,OZNET,Eulo,,0.05355696918281434,0.05109960742812672,0.6237060354493066,40.0,BSk,0.04601232781185356,0.03204188115880396,0.7521906030275237
OZNET_Evergreen.csv,OZNET,Evergreen,,0.06322895736834387,0.038363117610488835,0.768593788057896,120.0,Cfa,0.1081335215275639,0.04593197594249989,0.6374877930385526
OZNET_Ginninderra-K4.csv,OZNET,Ginninderra-K4,,0.07692319076717864,0.05161086710650978,0.6834380983299911,120.0,Cfa,0.0562098292175998,0.055015909936587386,0.5971344159528934
OZNET_Ginninderra-K5.csv,OZNET,Ginninderra-K5,,0.042733409652131786,0.042216817596805234,0.8388658850085288,120.0,Cfa,0.06286304750728651,0.04466100399083794,0.816325695430678
OZNET_Griffith-Aerodrome.csv,OZNET,Griffith-Aerodrome,,0.02566177776890265,0.022377499004091726,0.5810424219566099,120.0,BSk,0.05831306338576641,0.03636965368029592,0.6265477224492565
